age,job,education,housing,loan,winter,spring,summer,autumn,cellular,telephone,anxiety,duration,campaign,pdays,previous,emp_var_rate,cons_price_idx,cons_conf_idx,nr_employed,euribor3m,divorced,married,single,subscribed?
44,2,5,False,False,0,0,1,0,1,0,2,191.0,6.0,False,False,1.4,93.918,-42.7,5228.1,4.957,1,0,0,False
46,2,5,True,False,0,0,1,0,0,1,0,59.0,4.0,False,False,1.4,93.918,-42.7,5228.1,4.962,1,0,0,False
45,2,5,True,True,0,0,1,0,1,0,0,38.0,2.0,False,False,1.4,93.444,-36.1,5228.1,4.965,0,1,0,False
50,0,0,False,True,0,0,1,0,1,0,1,849.0,1.0,False,False,1.4,93.918,-42.7,5228.1,4.961,0,1,0,True
55,1,1,True,False,0,0,1,0,1,0,1,326.0,6.0,False,False,1.4,93.918,-42.7,5228.1,4.962,0,1,0,False
39,1,3,False,False,0,1,0,0,1,0,0,222.0,1.0,True,True,-1.8,93.369,-34.8,5008.7,0.639,1,0,0,True
29,1,5,True,True,0,0,1,0,1,0,2,626.0,3.0,False,False,1.4,93.444,-36.1,5228.1,4.967,0,0,1,False
40,2,3,False,True,0,0,1,0,1,0,2,119.0,1.0,False,False,1.4,93.444,-36.1,5228.1,4.965,0,1,0,False
44,1,4,True,False,0,1,0,0,0,1,4,388.0,7.0,False,False,1.1,93.994,-36.4,5191.0,4.864,0,1,0,False
38,1,4,True,False,0,0,1,0,1,0,0,479.0,1.0,False,False,1.4,93.444,-36.1,5228.1,4.965,0,1,0,True
36,1,4,False,False,0,1,0,0,0,1,2,446.0,1.0,False,False,1.1,93.994,-36.4,5191.0,4.856,1,0,0,False
28,0,1,False,False,0,1,0,0,1,0,0,68.0,2.0,False,True,-1.8,92.893,-46.2,5099.1,1.299,0,1,0,False
34,2,5,False,False,0,0,1,0,1,0,1,109.0,1.0,False,False,1.4,93.444,-36.1,5228.1,4.963,0,1,0,False
38,1,5,True,True,0,1,0,0,1,0,1,113.0,1.0,False,True,-1.8,92.843,-50.0,5099.1,1.687,0,1,0,False
33,1,3,True,False,0,0,1,0,0,1,0,393.0,3.0,False,False,1.4,94.465,-41.8,5228.1,4.865,0,1,0,False
51,1,5,False,False,0,0,1,0,1,0,4,151.0,2.0,False,False,-2.9,92.963,-40.8,5076.2,1.268,0,0,1,False
30,0,0,True,False,0,0,1,0,0,1,1,256.0,1.0,False,False,1.4,94.465,-41.8,5228.1,4.864,0,0,1,False
48,1,5,False,False,0,0,1,0,1,0,3,42.0,7.0,False,False,1.4,93.444,-36.1,5228.1,4.962,0,1,0,False
28,0,2,True,False,0,0,1,0,0,1,2,525.0,1.0,False,False,1.4,94.465,-41.8,5228.1,4.864,0,0,1,False
36,0,1,True,False,0,1,0,0,0,1,2,57.0,1.0,False,False,1.1,93.994,-36.4,5191.0,4.859,0,1,0,False
46,2,3,False,False,1,0,0,0,1,0,2,499.0,1.0,False,False,-0.1,93.2,-42.0,5195.8,4.12,1,0,0,False
35,1,3,True,False,0,1,0,0,1,0,1,31.0,1.0,False,False,-1.8,92.893,-46.2,5099.1,1.344,0,1,0,False
76,0,5,False,False,0,0,1,0,1,0,3,126.0,1.0,False,True,-1.7,94.027,-38.3,4991.6,0.899,0,1,0,False
45,2,4,True,False,0,0,1,0,1,0,1,211.0,3.0,False,False,1.4,93.918,-42.7,5228.1,4.961,1,0,0,False
32,0,0,True,True,0,1,0,0,1,0,4,340.0,1.0,False,False,-1.8,92.893,-46.2,5099.1,1.313,0,1,0,False
39,2,5,False,False,0,1,0,0,1,0,3,412.0,2.0,False,False,-1.8,92.893,-46.2,5099.1,1.327,0,0,1,False
32,2,5,False,False,1,0,0,0,0,1,3,132.0,1.0,False,False,-0.1,93.2,-42.0,5195.8,4.592,0,1,0,False
29,2,2,False,False,0,1,0,0,1,0,0,79.0,2.0,False,False,-1.8,92.893,-46.2,5099.1,1.299,0,0,1,False
44,1,4,False,False,0,0,1,0,1,0,0,341.0,2.0,False,False,1.4,93.444,-36.1,5228.1,4.97,0,1,0,False
32,1,3,False,True,0,0,1,0,1,0,4,157.0,3.0,False,False,1.4,93.918,-42.7,5228.1,4.957,0,1,0,False
56,0,5,True,False,0,0,1,0,1,0,2,252.0,1.0,False,True,-2.9,92.963,-40.8,5076.2,1.26,0,1,0,False
33,0,2,True,False,0,1,0,0,1,0,3,263.0,1.0,False,False,-1.8,92.893,-46.2,5099.1,1.327,0,1,0,False
39,2,3,False,False,0,0,1,0,1,0,4,215.0,3.0,False,False,1.4,93.444,-36.1,5228.1,4.966,0,1,0,False
24,1,5,True,True,0,0,0,1,1,0,1,89.0,2.0,True,True,-3.4,92.379,-29.8,5017.5,0.77,0,1,0,True
33,2,5,True,False,0,1,0,0,1,0,3,143.0,1.0,False,False,-1.8,92.893,-46.2,5099.1,1.327,0,0,1,False
58,2,5,False,False,0,0,1,0,0,1,3,40.0,2.0,False,False,1.4,94.465,-41.8,5228.1,4.866,1,0,0,False
29,2,5,True,False,0,0,1,0,0,1,4,10.0,27.0,False,False,1.4,94.465,-41.8,5228.1,4.959,0,0,1,False
31,2,5,True,False,0,0,1,0,1,0,3,113.0,1.0,False,False,1.4,93.444,-36.1,5228.1,4.964,0,1,0,False
27,2,5,False,False,0,1,0,0,0,1,2,191.0,5.0,False,False,1.1,93.994,-36.4,5191.0,4.857,0,1,0,False
60,2,4,True,False,0,0,0,1,1,0,2,481.0,1.0,False,True,-1.1,94.199,-37.5,4963.6,0.886,1,0,0,True
55,2,4,True,True,0,0,0,1,1,0,0,233.0,1.0,False,True,-3.4,92.431,-26.9,5017.5,0.739,0,1,0,False
37,0,2,True,False,0,1,0,0,1,0,2,204.0,2.0,False,False,-1.8,92.893,-46.2,5099.1,1.334,0,1,0,False
46,1,3,True,False,0,1,0,0,1,0,0,180.0,1.0,False,False,-1.8,93.075,-47.1,5099.1,1.405,0,1,0,False
42,0,1,True,False,0,1,0,0,1,0,2,16.0,2.0,False,False,-1.8,92.893,-46.2,5099.1,1.281,1,0,0,False
35,2,5,True,False,0,0,1,0,1,0,0,447.0,3.0,False,False,1.4,93.918,-42.7,5228.1,4.96,0,0,1,False
29,1,3,False,True,0,0,1,0,0,1,0,361.0,3.0,False,False,1.4,94.465,-41.8,5228.1,4.865,1,0,0,False
32,0,2,False,False,1,0,0,0,1,0,0,1091.0,2.0,True,True,-0.1,93.2,-42.0,5195.8,4.191,0,1,0,True
37,1,5,False,False,0,1,0,0,1,0,4,395.0,1.0,False,True,-1.8,92.893,-46.2,5099.1,1.313,0,1,0,False
39,1,4,False,False,0,0,1,0,0,1,0,432.0,4.0,False,False,1.4,94.465,-41.8,5228.1,4.865,0,0,1,True
51,1,3,True,False,0,0,1,0,0,1,0,596.0,3.0,False,False,1.4,93.918,-42.7,5228.1,4.962,0,1,0,True
28,2,3,True,False,0,1,0,0,1,0,1,59.0,3.0,False,False,-1.8,92.893,-46.2,5099.1,1.291,0,0,1,False
34,2,5,True,False,0,1,0,0,1,0,2,77.0,4.0,False,False,-1.8,92.893,-46.2,5099.1,1.281,0,1,0,False
31,1,3,True,True,0,0,1,0,1,0,1,768.0,1.0,False,False,1.4,93.444,-36.1,5228.1,4.966,0,0,1,True
31,2,5,True,False,0,0,1,0,1,0,3,96.0,5.0,False,False,1.4,93.444,-36.1,5228.1,4.962,0,1,0,False
31,2,5,True,False,0,0,1,0,0,1,2,357.0,2.0,False,False,1.4,94.465,-41.8,5228.1,4.864,0,0,1,False
38,1,5,False,False,0,1,0,0,0,1,3,459.0,2.0,False,False,1.1,93.994,-36.4,5191.0,4.855,0,0,1,False
33,0,2,False,False,0,0,1,0,0,1,4,11.0,6.0,False,False,1.4,94.465,-41.8,5228.1,4.959,0,1,0,False
32,1,5,False,False,0,0,1,0,1,0,1,264.0,12.0,False,False,1.4,93.444,-36.1,5228.1,4.966,0,0,1,False
54,1,4,True,False,0,1,0,0,1,0,0,698.0,1.0,False,False,-1.8,93.075,-47.1,5099.1,1.405,0,1,0,False
41,2,3,True,False,0,0,1,0,0,1,1,204.0,2.0,False,False,1.4,94.465,-41.8,5228.1,4.961,1,0,0,False
59,1,0,False,False,0,0,1,0,1,0,3,93.0,7.0,False,False,1.4,93.444,-36.1,5228.1,4.963,0,1,0,False
57,0,5,True,False,0,1,0,0,1,0,3,374.0,1.0,True,True,-1.8,93.075,-47.1,5099.1,1.365,0,1,0,False
38,2,5,True,False,1,0,0,0,1,0,3,252.0,1.0,False,False,-0.1,93.2,-42.0,5195.8,4.076,1,0,0,False
46,2,5,True,False,0,1,0,0,0,1,1,158.0,1.0,False,False,1.1,93.994,-36.4,5191.0,4.857,0,1,0,False
37,0,5,True,True,1,0,0,0,1,0,1,95.0,1.0,False,False,-0.1,93.2,-42.0,5195.8,4.153,0,0,1,False
45,2,5,False,False,0,0,1,0,1,0,3,505.0,1.0,False,False,1.4,93.444,-36.1,5228.1,4.964,0,0,1,True
36,0,1,True,False,0,0,1,0,0,1,2,16.0,1.0,False,False,1.4,93.918,-42.7,5228.1,4.962,0,1,0,False
40,0,3,True,False,0,0,1,0,1,0,0,300.0,5.0,False,False,1.4,93.918,-42.7,5228.1,4.96,0,0,1,False
38,0,2,False,False,1,0,0,0,1,0,1,180.0,2.0,False,True,-0.1,93.2,-42.0,5195.8,4.153,0,1,0,False
44,0,3,False,False,0,0,1,0,0,1,1,390.0,2.0,False,False,1.4,94.465,-41.8,5228.1,4.961,0,1,0,False
25,1,5,True,False,0,1,0,0,0,1,4,274.0,2.0,False,False,1.1,93.994,-36.4,5191.0,4.857,0,1,0,False
30,0,1,True,False,0,0,1,0,0,1,1,135.0,5.0,False,False,1.4,93.918,-42.7,5228.1,4.961,0,0,1,False
43,2,4,False,False,1,0,0,0,1,0,1,257.0,2.0,False,False,-0.1,93.2,-42.0,5195.8,4.153,0,1,0,False
58,0,1,False,False,0,1,0,0,0,1,0,268.0,3.0,False,False,1.1,93.994,-36.4,5191.0,4.857,0,1,0,False
31,1,4,True,False,0,1,0,0,0,1,2,157.0,6.0,False,False,1.1,93.994,-36.4,5191.0,4.856,0,1,0,False
53,2,5,False,False,0,0,1,0,1,0,1,477.0,2.0,False,False,1.4,93.918,-42.7,5228.1,4.961,0,1,0,False
37,2,5,False,True,0,1,0,0,1,0,4,76.0,1.0,False,True,-1.8,93.075,-47.1,5099.1,1.405,0,1,0,False
58,2,3,True,False,0,0,1,0,1,0,1,103.0,1.0,False,False,1.4,93.918,-42.7,5228.1,4.961,0,1,0,False
37,1,3,True,True,0,1,0,0,1,0,3,436.0,3.0,False,False,-1.8,92.893,-46.2,5099.1,1.266,0,1,0,False
33,1,2,True,False,0,1,0,0,1,0,3,483.0,2.0,False,False,-1.8,93.075,-47.1,5099.1,1.41,0,0,1,False
45,1,3,True,False,0,1,0,0,1,0,4,250.0,1.0,False,False,-1.8,92.893,-46.2,5099.1,1.25,0,1,0,False
44,2,4,False,False,0,1,0,0,0,1,0,259.0,1.0,False,False,1.1,93.994,-36.4,5191.0,4.858,0,1,0,False
38,0,1,True,False,0,0,1,0,0,1,3,389.0,2.0,False,False,1.4,93.918,-42.7,5228.1,4.966,0,1,0,False
34,0,2,False,False,0,0,1,0,0,1,1,7.0,1.0,False,False,-1.7,94.055,-39.8,4991.6,0.702,0,1,0,False
47,2,5,True,False,0,0,1,0,1,0,2,123.0,1.0,False,False,-2.9,92.469,-33.6,5076.2,1.029,0,1,0,False
59,2,5,True,True,0,0,1,0,1,0,2,92.0,1.0,False,False,-2.9,92.469,-33.6,5076.2,1.085,0,1,0,False
51,0,0,True,True,0,0,1,0,1,0,3,297.0,2.0,False,False,1.4,93.444,-36.1,5228.1,4.964,0,1,0,False
31,0,1,True,False,0,0,1,0,0,1,2,406.0,2.0,False,False,1.4,94.465,-41.8,5228.1,4.864,0,1,0,False
56,2,5,True,True,1,0,0,0,1,0,2,104.0,1.0,False,True,-0.1,93.2,-42.0,5195.8,4.12,0,1,0,False
39,2,5,False,False,0,0,1,0,0,1,0,135.0,2.0,False,False,1.4,94.465,-41.8,5228.1,4.961,0,1,0,False
41,2,5,True,False,1,0,0,0,1,0,1,854.0,1.0,False,False,-0.1,93.2,-42.0,5195.8,4.153,0,1,0,True
41,2,1,True,False,1,0,0,0,1,0,3,147.0,1.0,False,False,-0.1,93.2,-42.0,5195.8,4.076,1,0,0,False
35,0,3,False,True,0,0,1,0,1,0,0,149.0,4.0,False,False,1.4,93.918,-42.7,5228.1,4.962,0,1,0,False
58,0,2,False,True,0,1,0,0,1,0,2,144.0,1.0,False,False,-1.8,92.893,-46.2,5099.1,1.334,0,1,0,False
25,1,4,True,False,0,0,1,0,0,1,2,394.0,2.0,False,False,1.4,94.465,-41.8,5228.1,4.959,0,1,0,False
35,0,2,True,False,0,1,0,0,1,0,1,523.0,1.0,False,True,-1.8,92.893,-46.2,5099.1,1.344,1,0,0,False
28,1,3,False,False,0,0,1,0,1,0,2,73.0,1.0,False,False,1.4,93.918,-42.7,5228.1,4.963,0,0,1,False
55,0,4,True,True,0,1,0,0,1,0,4,197.0,3.0,False,True,-1.8,92.893,-46.2,5099.1,1.25,0,1,0,False
54,2,0,False,True,0,1,0,0,0,1,3,108.0,1.0,False,False,1.1,93.994,-36.4,5191.0,4.855,0,1,0,False
45,1,2,False,False,0,0,1,0,1,0,2,80.0,2.0,False,False,1.4,93.918,-42.7,5228.1,4.962,1,0,0,False
32,0,2,True,False,0,1,0,0,1,0,3,114.0,1.0,False,True,-1.8,93.075,-47.1,5099.1,1.41,0,1,0,False
50,2,2,True,False,0,0,1,0,1,0,3,122.0,3.0,False,False,1.4,93.444,-36.1,5228.1,4.963,0,1,0,False
75,0,0,False,False,0,1,0,0,1,0,1,109.0,1.0,False,True,-1.8,93.075,-47.1,5099.1,1.405,0,1,0,True
29,2,5,False,True,0,0,1,0,1,0,2,181.0,2.0,False,False,1.4,93.444,-36.1,5228.1,4.967,0,1,0,False
45,2,5,True,False,0,1,0,0,1,0,3,239.0,1.0,False,False,-1.8,92.893,-46.2,5099.1,1.327,0,1,0,False
38,2,5,False,False,0,1,0,0,1,0,0,360.0,1.0,False,False,-1.8,93.075,-47.1,5099.1,1.392,1,0,0,True
24,1,4,True,False,0,1,0,0,0,1,0,314.0,1.0,False,False,1.1,93.994,-36.4,5191.0,4.858,0,0,1,False
41,1,4,True,False,0,0,1,0,1,0,0,984.0,1.0,False,False,1.4,93.444,-36.1,5228.1,4.963,0,1,0,False
58,0,3,True,False,0,0,1,0,1,0,1,663.0,1.0,False,False,-2.9,92.963,-40.8,5076.2,1.262,1,0,0,True
34,2,5,False,True,0,1,0,0,0,1,2,157.0,2.0,False,False,1.1,93.994,-36.4,5191.0,4.857,0,1,0,False
34,2,5,False,False,1,0,0,0,1,0,0,141.0,2.0,False,False,-1.1,94.767,-50.8,4963.6,1.05,0,1,0,False
37,1,4,False,False,0,1,0,0,0,1,2,374.0,1.0,False,False,1.1,93.994,-36.4,5191.0,4.856,1,0,0,False
53,0,0,False,False,0,0,1,0,0,1,2,706.0,1.0,False,False,1.4,94.465,-41.8,5228.1,4.959,1,0,0,True
54,1,4,True,True,0,0,1,0,1,0,1,797.0,14.0,False,False,1.4,93.918,-42.7,5228.1,4.961,1,0,0,False
32,1,4,True,False,1,0,0,0,1,0,1,250.0,1.0,False,False,-0.1,93.2,-42.0,5195.8,4.153,1,0,0,False
42,2,3,True,False,0,0,1,0,1,0,4,311.0,6.0,False,False,1.4,93.918,-42.7,5228.1,4.962,0,1,0,False
28,1,4,True,False,0,0,1,0,1,0,3,63.0,2.0,True,True,-2.9,92.201,-31.4,5076.2,0.851,0,0,1,True
33,1,3,True,False,0,1,0,0,0,1,4,111.0,1.0,False,False,1.1,93.994,-36.4,5191.0,4.864,0,0,1,False
41,0,2,True,False,0,1,0,0,1,0,0,148.0,2.0,False,False,-1.8,93.075,-47.1,5099.1,1.405,0,1,0,False
31,1,3,False,True,1,0,0,0,1,0,3,49.0,1.0,False,False,-0.1,93.2,-42.0,5195.8,4.076,0,1,0,False
40,1,2,False,True,0,1,0,0,0,1,3,171.0,4.0,False,False,1.1,93.994,-36.4,5191.0,4.86,0,1,0,False
40,2,5,True,False,0,0,1,0,1,0,0,256.9744773942635,1.0,False,False,1.4,93.444,-36.1,5228.1,4.965,1,0,0,False
82,0,0,False,False,0,0,0,1,0,1,1,279.0,3.0,True,True,-1.1,94.199,-37.5,4963.6,0.877,0,1,0,True
28,0,0,True,False,0,0,1,0,1,0,0,113.0,1.0,False,False,1.4,93.918,-42.7,5228.1,4.96,0,1,0,False
30,2,3,True,False,1,0,0,0,1,0,2,246.0,3.0,False,False,-0.1,93.2,-42.0,5195.8,4.12,0,1,0,False
31,0,5,True,False,0,0,1,0,1,0,1,309.0,1.0,True,True,-1.7,94.215,-40.3,4991.6,0.835,0,0,1,True
32,1,5,True,False,0,0,1,0,1,0,2,168.0,1.0,False,False,1.4,93.444,-36.1,5228.1,4.965,0,0,1,False
54,0,0,True,False,0,0,1,0,1,0,1,153.0,1.0,False,False,1.4,93.444,-36.1,5228.1,4.963,0,1,0,False
31,0,2,False,False,0,0,1,0,1,0,2,152.0,1.0,False,False,1.4,93.918,-42.7,5228.1,4.963,0,1,0,False
31,2,3,True,True,0,1,0,0,1,0,2,149.0,1.0,False,False,-1.8,92.893,-46.2,5099.1,1.281,0,0,1,False
32,0,3,True,False,1,0,0,0,1,0,3,640.0,1.0,False,False,-0.1,93.2,-42.0,5195.8,4.076,0,1,0,False
46,2,3,True,False,1,0,0,0,1,0,0,199.0,2.0,False,True,-1.1,94.767,-50.8,4963.6,1.048,0,0,1,False
47,2,3,False,False,0,1,0,0,1,0,0,1114.0,2.0,False,False,-1.8,92.893,-46.2,5099.1,1.299,0,0,1,False
32,2,3,False,False,1,0,0,0,1,0,0,74.0,2.0,False,True,-1.1,94.767,-50.8,4963.6,1.048,0,0,1,False
52,1,3,False,False,1,0,0,0,1,0,0,190.0,1.0,False,False,-0.1,93.2,-42.0,5195.8,4.191,1,0,0,False
45,2,3,True,False,0,0,0,1,1,0,4,738.0,3.0,True,True,-1.1,94.601,-49.5,4963.6,1.029,0,1,0,True
32,2,5,True,False,0,1,0,0,1,0,4,374.0,2.0,False,False,-1.8,92.893,-46.2,5099.1,1.313,0,1,0,False
71,0,0,False,False,0,0,1,0,1,0,3,224.0,1.0,False,False,-1.7,94.027,-38.3,4991.6,0.904,1,0,0,False
49,1,3,True,False,0,1,0,0,0,1,4,344.0,2.0,False,False,1.1,93.994,-36.4,5191.0,4.855,0,1,0,False
46,2,3,True,True,0,0,1,0,0,1,2,148.0,10.0,False,False,1.4,94.465,-41.8,5228.1,4.864,0,1,0,False
46,0,4,False,False,1,0,0,0,1,0,4,383.0,1.0,False,False,-1.1,94.767,-50.8,4963.6,1.028,0,1,0,False
38,2,5,True,False,0,0,1,0,1,0,1,35.0,6.0,False,False,1.4,93.444,-36.1,5228.1,4.965,0,1,0,False
57,1,4,False,False,0,0,1,0,1,0,0,153.0,2.0,False,False,1.4,93.444,-36.1,5228.1,4.965,0,1,0,False
44,1,4,False,False,0,1,0,0,0,1,4,124.0,3.0,False,False,1.1,93.994,-36.4,5191.0,4.864,0,1,0,False
47,1,5,True,False,0,0,1,0,1,0,2,345.0,7.0,False,False,1.4,93.444,-36.1,5228.1,4.964,0,1,0,False
40,0,2,True,True,0,1,0,0,0,1,2,951.0,2.0,False,False,1.1,93.994,-36.4,5191.0,4.858,0,1,0,False
57,0,4,True,False,0,1,0,0,0,1,0,188.0,1.0,False,False,1.1,93.994,-36.4,5191.0,4.857,0,0,1,False
52,0,2,False,False,0,0,1,0,1,0,4,809.0,1.0,False,False,1.4,93.444,-36.1,5228.1,4.966,0,1,0,True
34,2,5,True,True,0,0,1,0,0,1,2,192.0,1.0,False,False,-2.9,92.963,-40.8,5076.2,1.26,0,1,0,False
42,2,5,True,False,0,1,0,0,0,1,1,154.0,1.0,False,False,0.0849052017501195,93.994,-36.4,5191.0,4.857,0,1,0,False
45,2,0,True,False,0,1,0,0,0,1,4,100.0,1.0,False,False,1.1,93.994,-36.4,5191.0,4.855,0,1,0,False
56,0,3,False,False,0,1,0,0,1,0,0,317.0,1.0,False,False,-1.8,92.893,-46.2,5099.1,1.244,0,1,0,False
41,2,5,True,False,0,1,0,0,1,0,3,93.0,1.0,False,False,-1.8,92.893,-46.2,5099.1,1.327,0,1,0,False
44,2,3,True,False,0,0,1,0,1,0,4,111.0,1.0,False,False,1.4,93.444,-36.1,5228.1,4.964,0,1,0,False
50,0,1,True,False,0,1,0,0,1,0,0,293.0,3.0,True,True,-1.8,92.893,-46.2,5099.1,1.354,0,1,0,True
54,1,3,False,False,0,0,1,0,1,0,1,119.0,3.0,False,False,1.4,93.444,-36.1,5228.1,4.963,0,1,0,False
51,0,1,False,False,0,0,1,0,1,0,4,393.0,1.0,False,False,1.4,93.444,-36.1,5228.1,4.964,0,1,0,False
30,0,2,False,False,1,0,0,0,1,0,2,30.0,1.0,False,False,-0.1,93.2,-42.0,5195.8,4.12,0,0,1,False
42,0,0,True,False,0,0,1,0,0,1,4,38.0,8.0,False,False,1.4,94.465,-41.8,5228.1,4.959,0,1,0,False
41,1,4,True,False,0,0,1,0,0,1,0,442.0,11.0,False,False,1.4,94.465,-41.8,5228.1,4.865,0,1,0,False
47,1,2,False,False,1,0,0,0,1,0,1,187.0,2.0,False,False,-0.1,93.2,-42.0,5195.8,4.153,0,0,1,False
35,0,1,True,False,0,1,0,0,1,0,4,113.0,1.0,False,True,-1.8,93.075,-47.1,5099.1,1.405,0,1,0,False
58,0,2,False,False,1,0,0,0,1,0,1,64.0,1.0,False,True,-0.1,93.2,-42.0,5195.8,4.153,0,1,0,False
50,0,3,True,True,0,0,1,0,1,0,0,629.0,2.0,False,False,1.4,93.918,-42.7,5228.1,4.96,1,0,0,True
41,1,4,False,False,0,1,0,0,0,1,1,92.0,1.0,False,False,1.1,93.994,-36.4,5191.0,4.856,0,1,0,False
38,1,5,True,False,0,1,0,0,1,0,2,147.0,1.0,False,False,-1.8,92.893,-46.2,5099.1,1.334,0,1,0,False
32,0,5,False,False,1,0,0,0,1,0,3,151.0,2.0,False,False,-0.1,93.2,-42.0,5195.8,4.076,0,0,1,False
21,0,3,False,False,0,0,1,0,1,0,1,259.0,1.0,False,True,-2.9,92.201,-31.4,5076.2,0.884,0,0,1,False
46,2,2,False,False,0,1,0,0,0,1,2,423.0,1.0,False,False,1.1,93.994,-36.4,5191.0,4.856,1,0,0,False
42,1,5,True,False,1,0,0,0,1,0,4,888.0,3.0,False,False,-0.1,93.2,-42.0,5195.8,4.021,0,1,0,False
55,1,2,False,False,0,0,1,0,1,0,2,76.0,13.0,False,False,1.4,93.444,-36.1,5228.1,4.964,0,1,0,False
29,2,3,True,False,1,0,0,0,0,1,0,207.0,1.0,True,True,-1.1,94.767,-50.8,4963.6,1.05,0,0,1,False
30,0,1,True,False,0,0,1,0,0,1,2,100.0,1.0,False,False,1.4,94.465,-41.8,5228.1,4.959,0,0,1,False
53,2,0,True,False,1,0,0,0,1,0,2,63.0,1.0,False,False,-0.1,93.2,-42.0,5195.8,4.12,0,1,0,False
35,2,5,True,False,1,0,0,0,1,0,2,265.0,2.0,False,False,-0.1,93.2,-42.0,5195.8,4.12,0,1,0,False
46,1,4,True,False,0,1,0,0,0,1,1,273.0,4.0,False,False,1.1,93.994,-36.4,5191.0,4.856,0,1,0,False
43,2,5,True,False,0,0,1,0,1,0,1,261.0,1.0,False,False,1.4,93.918,-42.7,5228.1,4.961,0,1,0,False
42,1,3,True,False,0,0,1,0,1,0,0,136.0,4.0,False,False,1.4,93.918,-42.7,5228.1,4.96,0,1,0,False
32,1,4,False,False,0,0,1,0,1,0,1,711.0,1.0,False,False,1.4,93.57960607533715,-42.7,5228.1,4.962,0,1,0,False
41,0,2,True,False,0,1,0,0,1,0,4,88.0,1.0,False,True,-1.8,92.893,-46.2,5099.1,1.313,1,0,0,False
28,2,5,False,False,0,1,0,0,1,0,1,72.0,3.0,False,True,-1.8,92.893,-46.2,5099.1,1.291,0,1,0,False
24,1,5,False,False,0,0,1,0,1,0,3,113.0,6.0,False,False,1.4,93.918,-42.7,5228.1,4.963,0,0,1,False
43,2,5,True,True,0,1,0,0,1,0,4,307.0,1.0,False,False,-1.8,93.075,-47.1,5099.1,1.405,0,1,0,False
30,2,5,True,False,0,0,1,0,1,0,0,39.0,1.0,False,False,1.4,93.444,-36.1,5228.1,4.97,0,0,1,False
55,0,2,False,False,1,0,0,0,1,0,1,63.0,2.0,False,False,-0.1,93.2,-42.0,5195.8,4.153,0,1,0,False
51,0,2,False,False,0,0,1,0,1,0,4,64.0,1.0,False,False,1.4,93.918,-42.7,5228.1,4.959,0,1,0,False
22,0,3,False,True,0,0,1,0,1,0,4,154.0,2.0,False,False,1.4,93.918,-42.7,5228.1,4.957,0,0,1,False
32,2,5,False,True,1,0,0,0,1,0,3,126.0,1.0,False,False,-0.1,93.2,-42.0,5195.8,4.076,0,0,1,False
43,2,4,False,False,0,0,1,0,1,0,3,127.0,3.0,False,False,1.4,93.918,-42.7,5228.1,4.968,0,1,0,False
39,2,1,False,False,0,0,1,0,0,1,0,156.0,5.0,False,False,1.4,94.465,-41.8,5228.1,4.865,0,1,0,False
38,1,4,True,False,0,1,0,0,1,0,0,202.0,3.0,False,True,-1.8,92.893,-46.2,5099.1,1.244,0,0,1,False
59,0,0,False,False,0,1,0,0,0,1,1,353.0,4.0,False,False,-1.8,93.075,-47.1,5099.1,1.453,0,1,0,False
